id;codigo;descripcion_diagnostico;estado;num_dias_maximo_solicitud;dias_maximo_evento;capitulo_grupo;categoria_subgrupo;contingencia;tipo_licencia;genero_comfe;cie_min_salud;genero_minsalud;limite_edad_inferior_minsalud;limite_edad_maxima_minsalud;tipo_diagnostico;aplica_notificacion;opcion_liquidacion;diagnostico_centinela;indicio_at_el;observacion1;observacion2;observacion3;observacion4
0;A000;COLERA DEBIDO A VIBRIO CHOLERAE O1  BIOTIPO CHOLERAE;1;15;;1;1;1;;A;SI;A;0;999;0;s;I;N;;CODIGOS INESPECIFICOS PETICIÓN EPIDEMIOLOGIA:;;;
1;A001;COLERA DEBIDO A VIBRIO CHOLERAE O1  BIOTIPO EL TOR;1;15;;1;1;1;;A;SI;A;0;999;0;s;I;S;;R688;;OTROS SINTOMAS Y SIGNOS GENERALES ESPECIFICADOS;
2;A009;COLERA  NO ESPECIFICADO;1;15;;1;1;1;;A;SI;A;0;999;0;s;I;S;;R69X;;CAUSAS DE MORBILIDAD DESCONOCIDAS Y NO ESPECIFICADAS;
3;A010;FIEBRE TIFOIDEA;1;15;;1;1;1;;A;SI;A;0;999;0;s;I;S;;Z000;;EXAMEN MEDICO GENERAL;
4;A011;FIEBRE PARATIFOIDEA A;1;15;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z008;;OTROS EXAMENES GENERALES;
5;A012;FIEBRE PARATIFOIDEA B;1;15;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z018;;OTROS EXAMENES ESPECIALES ESPECIFICADOS;
6;A013;FIEBRE PARATIFOIDEA C;1;15;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z019;;EXAMEN ESPECIAL NO ESPECIFICADO;
7;A014;FIEBRE PARATIFOIDEA  NO ESPECIFICADA;1;7;;1;1;1;;A;SI;A;0;999;0;s;I;S;;Z039;;OBSERVACION POR SOSPECHA DE ENFERMEDAD O AFECCION NO ESPECIFICADA;
8;A020;ENTERITIS DEBIDA A SALMONELLA;1;7;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z048;;EXAMEN Y OBSERVACION POR OTRAS RAZONES ESPECIFICADAS;
9;A021;SEPTICEMIA DEBIDA A SALMONELLA;1;30;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z049;;EXAMEN Y OBSERVACION POR RAZONES NO ESPECIFICADAS;
10;A022;INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA;1;7;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z097;;EXAMEN DE SEGUIMIENTO CONSECUTIVO A TRATAMIENTO COMBINADO POR OTRAS AFECCIONES;
